pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,1.018,1.198,0.17999999999999994,1.018,1.0,,0.1200000000000001,0.11249999999999989
1,2.218,2.458,0.2400000000000002,2.338,1.0,0.1200000000000001,,0.19499999999999998
2,2.758,2.998,0.2400000000000002,2.758,1.0,,0.0600000000000005,0.19499999999999995
3,4.198,4.7379999999999995,0.5399999999999991,4.258,1.0,0.05999999999999961,0.29999999999999893,0.47624999999999956
4,5.878,6.418,0.54,6.118,1.0,0.2400000000000002,,0.4350000000000003
5,7.258,7.798,0.54,7.318,1.0,0.05999999999999961,,0.47624999999999995
6,9.238,9.958,0.7200000000000006,9.478,1.0,0.2400000000000002,,0.5625000000000007
7,10.678,11.158,0.47999999999999865,10.678,1.0,,,0.4087499999999987
8,12.238,12.898,0.6600000000000001,12.418,1.0,0.17999999999999972,,0.5550000000000005
9,13.738,14.518,0.7800000000000011,13.738,1.0,,0.0600000000000005,0.7200000000000006
10,15.238,15.838000000000001,0.6000000000000014,15.358,1.0,0.120000000000001,,0.5625000000000011
11,16.618,17.098,0.4800000000000004,16.618,1.0,,,0.3300000000000012
12,17.878,18.538,0.6600000000000001,17.938,1.0,0.05999999999999872,0.120000000000001,0.5812500000000005
